DBNames,Players,Country,TNAME,Team Name,Base Price,Sold For
AC Kerr,Amelia Kerr,New Zealand,MI,Mumbai Indians,4000000,10000000
S Ismail,Shabnim Ismail,South Africa,UPW,UP Warriorz,4000000,10000000
MM Lanning,Meg Lanning,Australia,DC,Delhi Capitals,5000000,11000000
TM McGrath,Tahila McGrath,Australia,UPW,UP Warriorz,4000000,14000000
DP Vaidya,Devika Vaidya,India,UPW,UP Warriorz,4000000,14000000
Renuka Singh,Renuka Singh,India,RCB,Royal Challengers Bangalore,5000000,15000000
M Kapp,Marizanne Kapp,South Africa,DC,Delhi Capitals,4000000,15000000
YH Bhatia,Yastika Bhatia,India,MI,Mumbai Indians,4000000,15000000
EA Perry,Ellyse Perry,Australia,RCB,Royal Challengers Bangalore,5000000,17000000
S Ecclestone,Sophie Ecclestone,England,UPW,UP Warriorz,5000000,18000000
H Kaur,Harmanpreet Kaur,India,MI,Mumbai Indians,5000000,18000000
RM Ghosh,Richa Ghosh,India,RCB,Royal Challengers Bangalore,5000000,19000000
P Vastrakar,Pooja Vastrakar,India,MI,Mumbai Indians,5000000,19000000
TG Norris,Tara Norris,USouth Africa,DC,Delhi Capitals,1000000,1000000
Shabnam Shakil,Shabnam Shakil,India,GG,Gujarat Giants,1000000,1000000
DV Gujjar,Dhara Gujjar,India,MI,Mumbai Indians,1000000,1000000
Indrani Roy,Indrani Roy,India,RCB,Royal Challengers Bangalore,1000000,1000000
S Ishaque,Saika Ishaque,India,MI,Mumbai Indians,1000000,1000000
Simran Shaikh,Simran Shaikh,India,UPW,UP Warriorz,1000000,1000000
HY Kazi,Humairaa Kaazi,India,MI,Mumbai Indians,1000000,1000000
PN Khemnar,Poonam Khemnar,India,RCB,Royal Challengers Bangalore,1000000,1000000
Laxmi Yadav,Laxmi Yadav,India,UPW,UP Warriorz,1000000,1000000
Parunika Sisodia,Parunika Sisodia,India,GG,Gujarat Giants,1000000,1000000
DD Kasat,Disha Kasat,India,RCB,Royal Challengers Bangalore,1000000,1000000
PG Chopra,Parshavi Chopra,India,UPW,UP Warriorz,1000000,1000000
Sonam Yadav,Sonam Yadav,India,MI,Mumbai Indians,1000000,1000000
S. Yashasri,S. Yashasri,India,UPW,UP Warriorz,1000000,1000000
Hurley Gala,Hurley Gala,India,GG,Gujarat Giants,1000000,1000000
Aparna Mondal,Aparna Mondal,India,DC,Delhi Capitals,1000000,1000000
JN Kalita,Jintimani Kalita,India,MI,Mumbai Indians,1000000,1000000
S Asha,Asha Shobana,India,RCB,Royal Challengers Bangalore,1000000,1000000
Neelam Bisht,Neelam Bisht,India,MI,Mumbai Indians,1000000,1000000
SR Patil,Shreyanka Patil,India,RCB,Royal Challengers Bangalore,1000000,1000000
SS Pawar,Sahana Pawar,India,RCB,Royal Challengers Bangalore,1000000,1000000
Shafali Verma,Shafali Verma,India,DC,Delhi Capitals,5000000,20000000
BL Mooney,Beth Mooney,Australia,GG,Gujarat Giants,4000000,20000000
JI Rodrigues,Jemimah Rodrigues,India,DC,Delhi Capitals,5000000,22000000
DB Sharma,Deepti Sharma,India,UPW,UP Warriorz,5000000,26000000
Priyanka Bala,Priyanka Bala,India,MI,Mumbai Indians,2000000,2000000
Jasia Akhter,Jasia Akhter,India,DC,Delhi Capitals,2000000,2000000
Komal Zanzad,Komal Zanzad,India,RCB,Royal Challengers Bangalore,1000000,2500000
Titas Sadhu,Titas Sadhu,India,DC,Delhi Capitals,1000000,2500000
NR Sciver,Natalie Sciver,England,MI,Mumbai Indians,5000000,32000000
A Gardner,Ashleigh Gardner,Australia,GG,Gujarat Giants,5000000,32000000
S Mandhana,Smriti Mandhana,India,RCB,Royal Challengers Bangalore,5000000,34000000
KP Navgire,Kiran Navgire,India,UPW,UP Warriorz,3000000,3000000
A Reddy,Arundhati Reddy,India,DC,Delhi Capitals,3000000,3000000
Preeti Bose,Preeti Bose,India,RCB,Royal Challengers Bangalore,3000000,3000000
EA Burns,Erin Burns,Australia,RCB,Royal Challengers Bangalore,3000000,3000000
S Meghana,Sabbineni Meghana,India,GG,Gujarat Giants,3000000,3000000
Poonam Yadav,Poonam Yadav,India,DC,Delhi Capitals,3000000,3000000
M Mani,Minnu Mani,India,DC,Delhi Capitals,1000000,3000000
Dané Van Niekerk,Dané Van Niekerk,South Africa,RCB,Royal Challengers Bangalore,3000000,3000000
Sneha Deepthi,Sneha Deepthi,India,DC,Delhi Capitals,3000000,3000000
T Bhatia,Taniyaa Bhatia,India,DC,Delhi Capitals,3000000,3000000
Heather Graham,Heather Graham,Australia,MI,Mumbai Indians,3000000,3000000
Chloe Tyron,Chloe Tyron,South Africa,MI,Mumbai Indians,3000000,3000000
M Joshi,Mansi Joshi,India,GG,Gujarat Giants,3000000,3000000
IECM Wong,Isabelle Wong,Hong Kong,MI,Mumbai Indians,3000000,3000000
MC Patel,Monica Patel,India,GG,Gujarat Giants,3000000,3000000
Lauren Bell,Lauren Bell,England,UPW,UP Warriorz,3000000,3000000
D Hemalatha,Dayalan Hemalatha,India,GG,Gujarat Giants,3000000,3000000
